Book_Title,Original_Book_Title,Author_Name,Edition_Language,Rating_score,Rating_votes,Review_number,Year_published,Genres,url
First World,First World,Jaymin Eve,English,4.04,7413,447,2013,"{'Fantasy': 138, 'Fantasy (Paranormal) ': 108, 'Young Adult': 101, 'Romance': 88, 'Science Fiction (Aliens) ': 63, 'Science Fiction': 57, 'New Adult': 40, 'Romance (Paranormal Romance) ': 40, 'Fantasy (Magic) ': 37, 'Science Fiction (Dystopia) ': 34}",https://www.goodreads.com/book/show/18229437-first-world
Caught by Menace,Caught by Menace,Lolita Lopez,English,4.02,2923,184,2013,"{'Erotica (BDSM) ': 89, 'Science Fiction': 68, 'Science Fiction (Aliens) ': 63, 'Adult Fiction (Erotica) ': 58, 'Romance': 58, 'Erotica (Menage) ': 27, 'Romance (Paranormal Romance) ': 23, 'Romance (Science Fiction Romance) ': 23, 'Fantasy (Paranormal) ': 22, 'Romance (Erotic Romance) ': 17}",https://www.goodreads.com/book/show/17788835-caught-by-menace
The Degan Incident,"
                  1626330042
                      (ISBN13: 9781626330047)
",Rob Colton,English,3.96,1949,214,2012,"{'Romance (M M Romance) ': 140, 'Science Fiction': 110, 'Science Fiction (Aliens) ': 63, 'Romance': 50, 'Fantasy': 32, 'LGBT (Gay) ': 24, 'Fantasy (Paranormal) ': 12, 'Adult Fiction (Erotica) ': 12, 'LGBT': 11, 'M M Romance (M M Science Fiction) ': 11}",https://www.goodreads.com/book/show/18306804-the-degan-incident
Gracie's Touch,B008LI9MGQ,S.E. Smith,English,4.14,3126,170,2012,"{'Science Fiction': 74, 'Science Fiction (Aliens) ': 63, 'Romance': 59, 'Science Fiction (Time Travel) ': 34, 'Romance (Science Fiction Romance) ': 20, 'Fantasy': 19, 'Adult Fiction (Erotica) ': 17, 'Futuristic': 16, 'Fantasy (Paranormal) ': 14, 'Adult': 7}",https://www.goodreads.com/book/show/15753092-gracie-s-touch
Exiled,B00AB4KSIY,Evangeline Anderson,English,4.1,3814,182,2012,"{'Romance': 76, 'Science Fiction (Aliens) ': 63, 'Adult Fiction (Erotica) ': 62, 'Science Fiction': 61, 'Fantasy (Paranormal) ': 39, 'Romance (Science Fiction Romance) ': 34, 'Romance (Paranormal Romance) ': 33, 'Adult': 21, 'Erotica (BDSM) ': 19, 'Fantasy': 15}",https://www.goodreads.com/book/show/15746918-exiled
Caliban's War,Caliban's War,James S.A. Corey,English,4.34,102554,5808,2012,"{'Science Fiction': 3129, 'Fiction': 976, 'Space (Space Opera) ': 611, 'Audiobook': 201, 'Space': 198, 'Science Fiction Fantasy': 174, 'Fantasy': 99, 'Adventure': 82, 'Science Fiction (Aliens) ': 63, 'Novels': 62}",https://www.goodreads.com/book/show/12591698-caliban-s-war
The Ghost Brigades,The Ghost Brigades,John Scalzi,English,4.1,69103,3374,2006,"{'Science Fiction': 2304, 'Fiction': 559, 'Space (Space Opera) ': 236, 'War (Military Fiction) ': 175, 'Science Fiction Fantasy': 118, 'War': 107, 'Space': 86, 'Audiobook': 86, 'Science Fiction (Aliens) ': 63, 'Science Fiction (Military Science Fiction) ': 62}",https://www.goodreads.com/book/show/239399.The_Ghost_Brigades
The Ninth Orb,The Ninth Orb,Kaitlyn O'Connor,English,3.71,2010,94,2006,"{'Science Fiction': 71, 'Science Fiction (Aliens) ': 63, 'Erotica (Menage) ': 55, 'Romance': 46, 'Adult Fiction (Erotica) ': 27, 'Polyamorous (Reverse Harem) ': 22, 'Fantasy': 20, 'Futuristic': 18, 'Romance (Science Fiction Romance) ': 16, 'Fantasy (Paranormal) ': 12}",https://www.goodreads.com/book/show/1610650.The_Ninth_Orb
The Ultimate Hitchhiker's Guide to the Galaxy,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,Douglas Adams,English,4.36,293147,5410,1996,"{'Science Fiction': 3249, 'Fiction': 2611, 'Humor': 1432, 'Fantasy': 1093, 'Classics': 770, 'Humor (Comedy) ': 459, 'Science Fiction Fantasy': 394, 'Adventure': 173, 'Novels': 170, 'European Literature (British Literature) ': 100}",https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy
The Sound of Stars,English,Alechia Dow,English,3.96,4885,650,2020,"{'Science Fiction': 228, 'Young Adult': 202, 'Fantasy': 114, 'LGBT': 81, 'Romance': 75, 'Science Fiction (Aliens) ': 62, 'Fiction': 58, 'Science Fiction (Dystopia) ': 42, 'GLBT (Queer) ': 41, 'Science Fiction Fantasy': 16}",https://www.goodreads.com/book/show/42185079-the-sound-of-stars
Won by an Alien,English,Amanda Milo,English,4.02,2069,235,2017,"{'Science Fiction (Aliens) ': 62, 'Science Fiction': 56, 'Romance': 44, 'Erotica (Menage) ': 19, 'Fantasy': 15, 'Romance (Science Fiction Romance) ': 15, 'Menage (M F M) ': 9, 'Adult Fiction (Erotica) ': 9, 'Polyamorous (Reverse Harem) ': 8, 'Fantasy (Paranormal) ': 7}",https://www.goodreads.com/book/show/36544232-won-by-an-alien
Shadowed,"
                  1301687677
                      (ISBN13: 9781301687671)
",Evangeline Anderson,English,4.14,3534,165,2013,"{'Romance': 71, 'Science Fiction': 62, 'Science Fiction (Aliens) ': 62, 'Adult Fiction (Erotica) ': 59, 'Fantasy (Paranormal) ': 37, 'Romance (Paranormal Romance) ': 30, 'Romance (Science Fiction Romance) ': 27, 'Fantasy': 21, 'Adult': 18, 'Romance (Erotic Romance) ': 12}",https://www.goodreads.com/book/show/21748444-shadowed
Nine's Legacy,Nine's Legacy,Pittacus Lore,English,4.18,11766,404,2012,"{'Young Adult': 168, 'Science Fiction': 129, 'Fantasy': 112, 'Science Fiction (Aliens) ': 62, 'Fiction': 47, 'Short Stories': 29, 'Fantasy (Paranormal) ': 24, 'Adventure': 24, 'Novella': 20, 'Young Adult (Teen) ': 16}",https://www.goodreads.com/book/show/13425352-nine-s-legacy
Starkissed,Starkissed,Lanette Curington,English,3.74,1896,100,2003,"{'Science Fiction (Aliens) ': 62, 'Science Fiction': 59, 'Romance': 48, 'Romance (Science Fiction Romance) ': 25, 'Adult Fiction (Erotica) ': 20, 'Futuristic': 12, 'Romance (M F Romance) ': 11, 'Adult': 8, 'Fantasy (Paranormal) ': 8, 'Fantasy': 7}",https://www.goodreads.com/book/show/2651779-starkissed
The Savage King,The Savage King,Michelle M. Pillow,English,3.96,3773,232,2005,"{'Romance': 85, 'Science Fiction': 84, 'Fantasy (Paranormal) ': 65, 'Science Fiction (Aliens) ': 62, 'Romance (Paranormal Romance) ': 49, 'Adult Fiction (Erotica) ': 46, 'Paranormal (Shapeshifters) ': 45, 'Fantasy': 42, 'Romance (Science Fiction Romance) ': 21, 'Futuristic': 20}",https://www.goodreads.com/book/show/11990629-the-savage-king
Human Omega: Discovered on the Slave Planet,B07DBKDLHQ,Eileen Glass,English,3.84,1299,177,2018,"{'Science Fiction (Aliens) ': 61, 'Science Fiction': 61, 'Romance (M M Romance) ': 59, 'Romance': 44, 'Menage (M M M) ': 24, 'Erotica (Menage) ': 21, 'Fantasy': 18, 'LGBT': 16, 'Paranormal (Omegaverse) ': 15, 'Adult Fiction (Erotica) ': 14}",https://www.goodreads.com/book/show/40218643-human-omega
Barbarian's Beloved,Barbarian's Beloved,Ruby Dixon,English,4.11,2397,241,2018,"{'Romance': 73, 'Science Fiction (Aliens) ': 61, 'Science Fiction': 51, 'Romance (Science Fiction Romance) ': 21, 'Fantasy (Paranormal) ': 19, 'Romance (Paranormal Romance) ': 18, 'Adult Fiction (Erotica) ': 15, 'Adult': 10, 'Fantasy': 8, 'Fiction': 8}",https://www.goodreads.com/book/show/38460281-barbarian-s-beloved
Mr. Wuffles,Mr. Wuffles!,David Wiesner,English,3.98,6311,1222,2013,"{'Childrens (Picture Books) ': 749, 'Childrens': 173, 'Animals (Cats) ': 125, 'Animals': 110, 'Science Fiction': 103, 'Fiction': 72, 'Fantasy': 64, 'Science Fiction (Aliens) ': 60, 'Humor': 46, 'Adventure': 23}",https://www.goodreads.com/book/show/17165875-mr-wuffles
Ender's Shadow,Ender's Shadow,Orson Scott Card,English,4.3,157382,5286,1999,"{'Science Fiction': 3364, 'Fiction': 1373, 'Young Adult': 571, 'Fantasy': 400, 'Science Fiction Fantasy': 372, 'Audiobook': 118, 'Space': 111, 'Adventure': 109, 'War': 95, 'Novels': 94}",https://www.goodreads.com/book/show/9532.Ender_s_Shadow
Children of the Mind,Children of the Mind,Orson Scott Card,English,3.77,98381,2446,1996,"{'Science Fiction': 2637, 'Fiction': 999, 'Fantasy': 310, 'Science Fiction Fantasy': 257, 'Young Adult': 152, 'Space': 90, 'Audiobook': 84, 'Novels': 68, 'Science Fiction (Aliens) ': 61, 'Speculative Fiction': 48}",https://www.goodreads.com/book/show/31360.Children_of_the_Mind
Contagion,B07Z5BM8NV,Amanda Milo,English,4.1,1567,247,2019,"{'Science Fiction (Aliens) ': 60, 'Science Fiction': 50, 'Romance': 43, 'Humor': 18, 'Romance (Science Fiction Romance) ': 8, 'Fantasy': 6, 'Fantasy (Paranormal) ': 5, 'Adventure': 5, 'Fiction': 4, 'Romance (M F Romance) ': 4}",https://www.goodreads.com/book/show/48567611-contagion
Hannah's Warrior,Hannah's Warrior,S.E. Smith,English,4.15,2777,97,2012,"{'Science Fiction (Aliens) ': 60, 'Science Fiction': 55, 'Romance': 51, 'Romance (Science Fiction Romance) ': 19, 'Fantasy (Paranormal) ': 19, 'Fantasy': 16, 'Romance (Paranormal Romance) ': 15, 'Adult Fiction (Erotica) ': 13, 'Adult': 9, 'Futuristic': 8}",https://www.goodreads.com/book/show/15781608-hannah-s-warrior
Barbarian Prince,The Barbarian Prince,Michelle M. Pillow,English,3.68,4316,311,2004,"{'Romance': 98, 'Science Fiction': 79, 'Fantasy (Paranormal) ': 78, 'Fantasy (Dragons) ': 68, 'Fantasy': 68, 'Science Fiction (Aliens) ': 60, 'Paranormal (Shapeshifters) ': 54, 'Romance (Paranormal Romance) ': 52, 'Adult Fiction (Erotica) ': 41, 'Romance (Science Fiction Romance) ': 32}",https://www.goodreads.com/book/show/22011010-barbarian-prince
Devi's Distraction,Devi's Distraction ,Ruby Dixon,English,4.38,2777,324,2019,"{'Science Fiction (Aliens) ': 59, 'Science Fiction': 51, 'Romance': 51, 'Romance (Science Fiction Romance) ': 17, 'Romance (Paranormal Romance) ': 15, 'Fantasy (Paranormal) ': 15, 'Fantasy': 13, 'Adult': 10, 'Adult Fiction (Erotica) ': 10, 'Science Fiction Fantasy': 5}",https://www.goodreads.com/book/show/45418848-devi-s-distraction
Earth Fathers Are Weird,9.78139E+12,Lyn Gala,English,4.13,1340,260,2019,"{'Science Fiction': 94, 'Romance (M M Romance) ': 72, 'Science Fiction (Aliens) ': 59, 'Romance': 50, 'Fantasy': 20, 'LGBT': 15, 'War (Military Fiction) ': 12, 'Fiction': 9, 'Adult Fiction (Erotica) ': 7, 'LGBT (Gay) ': 6}",https://www.goodreads.com/book/show/44569467-earth-fathers-are-weird
Honor Among Thieves,Honor Among Thieves,Rachel Caine,English,3.9,4254,922,2018,"{'Science Fiction': 396, 'Young Adult': 332, 'Fantasy': 113, 'Space': 62, 'Science Fiction (Aliens) ': 59, 'Fiction': 53, 'Science Fiction (Dystopia) ': 38, 'Adventure': 33, 'Space (Space Opera) ': 26, 'Audiobook': 23}",https://www.goodreads.com/book/show/30129657-honor-among-thieves
Caveman Alien's Ransom,Caveman Alien's Ransom,Calista Skye,English,3.74,1775,165,2017,"{'Science Fiction (Aliens) ': 59, 'Science Fiction': 42, 'Romance': 28, 'Adult Fiction (Erotica) ': 16, 'Fantasy (Paranormal) ': 13, 'Fantasy': 12, 'Romance (Science Fiction Romance) ': 12, 'Romance (Paranormal Romance) ': 7, 'Fiction': 5, 'Adult': 5}",https://www.goodreads.com/book/show/34858083-caveman-alien-s-ransom
Razor's Traitorous Heart,"
                  1500156728
                      (ISBN13: 9781500156725)
",S.E. Smith,English,4.16,3016,138,2014,"{'Science Fiction (Aliens) ': 59, 'Science Fiction': 57, 'Romance': 52, 'Romance (Science Fiction Romance) ': 28, 'Romance (Paranormal Romance) ': 17, 'Fantasy': 17, 'Fantasy (Paranormal) ': 17, 'Futuristic': 11, 'Romance (M F Romance) ': 8, 'Adult': 8}",https://www.goodreads.com/book/show/22459186-razor-s-traitorous-heart
Heaven's Queen,Heaven's Queen,Rachel Bach,English,3.96,6764,691,2014,"{'Science Fiction': 408, 'Romance': 148, 'Space (Space Opera) ': 106, 'Science Fiction (Aliens) ': 59, 'Fiction': 51, 'Space': 43, 'Fantasy': 37, 'Adult': 33, 'Adventure': 23, 'War (Military Fiction) ': 20}",https://www.goodreads.com/book/show/18295835-heaven-s-queen
Dovis,Dovis,Laurann Dohner,English,4.06,2489,171,2018,"{'Science Fiction (Aliens) ': 58, 'Romance': 44, 'Science Fiction': 44, 'Fantasy (Paranormal) ': 27, 'Romance (Paranormal Romance) ': 25, 'Paranormal (Shapeshifters) ': 24, 'Romance (Science Fiction Romance) ': 15, 'Fantasy': 11, 'Adult': 10, 'Futuristic': 9}",https://www.goodreads.com/book/show/41329795-dovis
The Alien's Prize,The Alien's Prize,Zoey Draven,English,3.83,3297,251,2017,"{'Science Fiction': 61, 'Science Fiction (Aliens) ': 58, 'Romance': 48, 'Fantasy (Paranormal) ': 25, 'Romance (Science Fiction Romance) ': 22, 'Adult Fiction (Erotica) ': 21, 'Fantasy': 15, 'Romance (Paranormal Romance) ': 12, 'Adult': 7, 'Space': 4}",https://www.goodreads.com/book/show/34357797-the-alien-s-prize
Aftershocks,B01LZTL63R,Ruby Dixon,English,4.06,2332,168,2016,"{'Romance': 59, 'Science Fiction (Aliens) ': 58, 'Science Fiction': 49, 'Novella': 19, 'Romance (Science Fiction Romance) ': 16, 'Fantasy': 15, 'Fantasy (Paranormal) ': 14, 'Romance (Paranormal Romance) ': 14, 'Adult': 11, 'Adult Fiction (Erotica) ': 9}",https://www.goodreads.com/book/show/32062948-aftershocks
Calm,B01ILG1VOI,Ruby Dixon,English,3.9,2198,158,2016,"{'Science Fiction (Aliens) ': 58, 'Romance': 47, 'Science Fiction': 45, 'Novella': 18, 'Romance (Science Fiction Romance) ': 14, 'Fantasy (Paranormal) ': 13, 'Fantasy': 10, 'Romance (Paranormal Romance) ': 10, 'Romance (M F Romance) ': 9, 'Adult': 9}",https://www.goodreads.com/book/show/31136346-calm
Until Midnight,B00PV45EE2,Melissa Landers,English,4,1966,344,2014,"{'Young Adult': 94, 'Romance': 63, 'Science Fiction': 61, 'Science Fiction (Aliens) ': 58, 'Novella': 36, 'Fantasy': 22, 'Short Stories': 21, 'Fantasy (Paranormal) ': 15, 'Space': 7, 'Contemporary': 5}",https://www.goodreads.com/book/show/22614886-until-midnight
The Lives of Tao,The Lives of Tao,Wesley Chu,English,3.75,8006,1018,2013,"{'Science Fiction': 496, 'Fiction': 125, 'Fantasy': 119, 'Science Fiction (Aliens) ': 58, 'Thriller': 37, 'Fantasy (Urban Fantasy) ': 35, 'Humor': 29, 'Science Fiction Fantasy': 27, 'Action': 20, 'Speculative Fiction': 18}",https://www.goodreads.com/book/show/15981711-the-lives-of-tao
Ambushing Ariel,B009I4RWCS,S.E. Smith,English,4.18,3321,117,2012,"{'Science Fiction (Aliens) ': 58, 'Romance': 49, 'Fantasy (Dragons) ': 46, 'Science Fiction': 45, 'Fantasy (Paranormal) ': 28, 'Fantasy': 26, 'Paranormal (Shapeshifters) ': 25, 'Romance (Paranormal Romance) ': 23, 'Romance (Science Fiction Romance) ': 21, 'Audiobook': 7}",https://www.goodreads.com/book/show/16066215-ambushing-ariel
The Visitor,The Visitor,K.A. Applegate,English,3.82,7914,343,1996,"{'Science Fiction': 227, 'Young Adult': 182, 'Fiction': 136, 'Fantasy': 100, 'Childrens (Middle Grade) ': 69, 'Childrens': 68, 'Science Fiction (Aliens) ': 58, 'Animals': 42, 'Adventure': 28, 'Childrens (Juvenile) ': 15}",https://www.goodreads.com/book/show/324505.The_Visitor
Coto's Captive,"
                  1944526153
                      (ISBN13: 9781944526153)
",Laurann Dohner,English,3.87,2276,136,2016,"{'Science Fiction (Aliens) ': 57, 'Romance': 45, 'Science Fiction': 42, 'Romance (Paranormal Romance) ': 19, 'Adult Fiction (Erotica) ': 17, 'Fantasy (Paranormal) ': 12, 'Romance (Science Fiction Romance) ': 10, 'Romance (Erotic Romance) ': 8, 'Fantasy': 7, 'Novella': 5}",https://www.goodreads.com/book/show/30044282-coto-s-captive
Dark Deeds,"
                  0992455952
                      (ISBN13: 9780992455958)
",Michelle Diener,English,4.1,2492,228,2016,"{'Science Fiction': 112, 'Romance': 88, 'Science Fiction (Aliens) ': 57, 'Romance (Science Fiction Romance) ': 30, 'Space': 19, 'Space (Space Opera) ': 18, 'Adult': 9, 'Futuristic': 8, 'Fantasy': 7, 'Action': 7}",https://www.goodreads.com/book/show/28241136-dark-deeds
"Affiliations, Aliens, and Other Profitable Pursuits",9.78168E+12,Lyn Gala,English,4.32,1284,166,2015,"{'Romance (M M Romance) ': 108, 'Science Fiction': 104, 'Erotica (BDSM) ': 70, 'Romance': 58, 'Science Fiction (Aliens) ': 57, 'Fantasy': 19, 'Adult Fiction (Erotica) ': 16, 'LGBT': 11, 'LGBT (Gay) ': 10, 'Fiction': 9}",https://www.goodreads.com/book/show/27401647-affiliations-aliens-and-other-profitable-pursuits
Pythen,"Pythen (Galactic Order, #1)",Erin Raegan,English,4.07,2366,333,2018,"{'Science Fiction (Aliens) ': 56, 'Science Fiction': 50, 'Romance': 37, 'Romance (Science Fiction Romance) ': 18, 'Fantasy (Paranormal) ': 14, 'Fantasy': 9, 'Romance (Paranormal Romance) ': 6, 'Humor': 6, 'Adult Fiction (Erotica) ': 5, 'Contemporary': 5}",https://www.goodreads.com/book/show/42052148-pythen
House of Darken,House of Darken,Jaymin Eve,English,3.94,11064,654,2018,"{'Fantasy': 144, 'Fantasy (Paranormal) ': 109, 'Young Adult': 102, 'Romance': 90, 'Science Fiction (Aliens) ': 56, 'Fantasy (Dragons) ': 53, 'Romance (Paranormal Romance) ': 38, 'Fantasy (Urban Fantasy) ': 27, 'Fantasy (Magic) ': 24, 'Science Fiction': 23}",https://www.goodreads.com/book/show/36161602-house-of-darken
Space Opera,Space Opera,Catherynne M. Valente,English,3.53,11504,2550,2018,"{'Science Fiction': 769, 'Fiction': 314, 'Humor': 230, 'Fantasy': 160, 'Space (Space Opera) ': 106, 'Audiobook': 88, 'Adult': 84, 'Science Fiction Fantasy': 69, 'Space': 67, 'Music': 56}",https://www.goodreads.com/book/show/24100285-space-opera
Record of a Spaceborn Few,Record of a Spaceborn Few,Becky Chambers,English,4.11,22956,3311,2018,"{'Science Fiction': 1136, 'Fiction': 383, 'Space (Space Opera) ': 143, 'LGBT': 120, 'Audiobook': 104, 'Space': 102, 'GLBT (Queer) ': 91, 'Science Fiction Fantasy': 87, 'Adult': 82, 'Fantasy': 66}",https://www.goodreads.com/book/show/32802595-record-of-a-spaceborn-few
Mated,9.78131E+12,Laurie Roma,English,3.73,2459,155,2013,"{'Erotica (Menage) ': 77, 'Science Fiction': 74, 'Science Fiction (Aliens) ': 56, 'Romance': 51, 'Adult Fiction (Erotica) ': 51, 'Fantasy (Paranormal) ': 38, 'Fantasy (Dragons) ': 29, 'Fantasy': 20, 'Romance (Paranormal Romance) ': 19, 'Paranormal (Shapeshifters) ': 19}",https://www.goodreads.com/book/show/19546477-mated
Mercenary Abduction,"
                  1481958798
                      (ISBN13: 9781481958790)
",Eve Langlais,English,4.04,2050,114,2013,"{'Science Fiction': 64, 'Science Fiction (Aliens) ': 56, 'Romance': 53, 'Adult Fiction (Erotica) ': 28, 'Fantasy (Paranormal) ': 24, 'Humor': 16, 'Romance (Science Fiction Romance) ': 15, 'Adult': 12, 'Romance (Paranormal Romance) ': 11, 'Futuristic': 10}",https://www.goodreads.com/book/show/17451462-mercenary-abduction
Alien in the Family,"
                  0756406684
                      (ISBN13: 9780756406684)
",Gini Koch,English,4.1,2307,255,2011,"{'Science Fiction': 119, 'Romance': 81, 'Science Fiction (Aliens) ': 56, 'Fantasy (Urban Fantasy) ': 54, 'Romance (Paranormal Romance) ': 32, 'Fantasy (Paranormal) ': 25, 'Fantasy': 22, 'Fiction': 18, 'Humor': 17, 'Romance (Science Fiction Romance) ': 12}",https://www.goodreads.com/book/show/8714075-alien-in-the-family
Adulthood Rites,Adulthood Rites,Octavia E. Butler,English,4.17,13830,943,1988,"{'Science Fiction': 666, 'Fiction': 276, 'Fantasy': 95, 'Science Fiction Fantasy': 66, 'Science Fiction (Aliens) ': 56, 'Speculative Fiction': 55, 'Apocalyptic (Post Apocalyptic) ': 52, 'Science Fiction (Dystopia) ': 46, 'Audiobook': 23, 'Novels': 22}",https://www.goodreads.com/book/show/116249.Adulthood_Rites
Born of Ice,Paradise CIty,Sherrilyn Kenyon,English,4.3,15267,615,1994,"{'Romance': 332, 'Romance (Paranormal Romance) ': 239, 'Science Fiction': 176, 'Fantasy (Paranormal) ': 173, 'Fantasy': 140, 'Science Fiction (Aliens) ': 56, 'Futuristic': 49, 'Romance (Science Fiction Romance) ': 47, 'Adult': 46, 'Fiction': 37}",https://www.goodreads.com/book/show/6434232-born-of-ice
The Outsider,The Outsider,Melinda Metz,English,3.66,2609,233,1998,"{'Young Adult': 118, 'Science Fiction': 70, 'Science Fiction (Aliens) ': 56, 'Romance': 33, 'Fantasy': 25, 'Fantasy (Paranormal) ': 23, 'Fiction': 21, 'Fantasy (Supernatural) ': 12, 'Young Adult (Teen) ': 11, 'Media Tie In (Tv) ': 8}",https://www.goodreads.com/book/show/176178.The_Outsider
Blind Fall,B07K8SGTBV,Amanda Milo,English,4.24,1756,225,2018,"{'Science Fiction (Aliens) ': 55, 'Romance': 49, 'Science Fiction': 47, 'Romance (Science Fiction Romance) ': 12, 'Disability': 10, 'Fantasy': 8, 'Fantasy (Paranormal) ': 7, 'Adult': 6, 'Fiction': 4, 'Romance (Paranormal Romance) ': 4}",https://www.goodreads.com/book/show/42668007-blind-fall
The Night Masquerade,The Night Masquerade,Nnedi Okorafor,English,4.05,15443,1939,2018,"{'Science Fiction': 761, 'Fiction': 306, 'Fantasy': 281, 'Novella': 179, 'Young Adult': 98, 'Science Fiction Fantasy': 78, 'Cultural (Africa) ': 75, 'Audiobook': 61, 'Science Fiction (Aliens) ': 55, 'Adult': 53}",https://www.goodreads.com/book/show/34386617-the-night-masquerade
"Saga, Vol. 7","Saga, Volume Seven",Brian K. Vaughan,English,4.5,35507,3719,2017,"{'Sequential Art (Graphic Novels) ': 2697, 'Sequential Art (Comics) ': 1440, 'Fantasy': 1162, 'Science Fiction': 792, 'Fiction': 364, 'Graphic Novels Comics': 315, 'Adult': 215, 'Comics (Comic Book) ': 146, 'Romance': 106, 'Adventure': 98}",https://www.goodreads.com/book/show/29237211-saga-vol-7
Protected,B01G97FPCU,Evangeline Anderson,English,4.12,1669,172,2016,"{'Science Fiction (Aliens) ': 55, 'Romance': 45, 'Science Fiction': 44, 'Adult Fiction (Erotica) ': 21, 'Romance (Paranormal Romance) ': 16, 'Fantasy (Paranormal) ': 14, 'Fantasy': 13, 'Romance (Science Fiction Romance) ': 12, 'Sociology (Abuse) ': 9, 'Adult': 8}",https://www.goodreads.com/book/show/30327215-protected
Children of Time,Children of Time,Adrian Tchaikovsky,English,4.27,63800,6304,2015,"{'Science Fiction': 2448, 'Fiction': 546, 'Space (Space Opera) ': 250, 'Audiobook': 186, 'Fantasy': 134, 'Space': 120, 'Science Fiction Fantasy': 112, 'Adult': 83, 'Apocalyptic (Post Apocalyptic) ': 75, 'Science Fiction (Dystopia) ': 59}",https://www.goodreads.com/book/show/25499718-children-of-time
Dagger's Hope,B00UY6MX14,S.E. Smith,English,4.14,2760,141,2015,"{'Science Fiction': 60, 'Science Fiction (Aliens) ': 55, 'Romance': 52, 'Romance (Science Fiction Romance) ': 22, 'Fantasy': 16, 'Romance (Paranormal Romance) ': 13, 'Fantasy (Paranormal) ': 12, 'Futuristic': 9, 'Space': 7, 'Adult Fiction (Erotica) ': 7}",https://www.goodreads.com/book/show/22557743-dagger-s-hope
Twin Dragons,9.78131E+12,S.E. Smith,English,4.09,2858,132,2014,"{'Fantasy (Dragons) ': 55, 'Science Fiction (Aliens) ': 55, 'Romance': 49, 'Science Fiction': 45, 'Fantasy (Paranormal) ': 39, 'Erotica (Menage) ': 26, 'Fantasy': 25, 'Romance (Paranormal Romance) ': 24, 'Paranormal (Shapeshifters) ': 24, 'Romance (Science Fiction Romance) ': 18}",https://www.goodreads.com/book/show/23245994-twin-dragons
Consequences: Opal & Origin,"
                  1622664493
                      (ISBN13: 9781622664498)
",Jennifer L. Armentrout,English,4.64,4332,374,2014,"{'Young Adult': 88, 'Fantasy (Paranormal) ': 60, 'Fantasy': 55, 'Science Fiction (Aliens) ': 55, 'Romance': 48, 'Science Fiction': 41, 'Romance (Paranormal Romance) ': 14, 'Fantasy (Supernatural) ': 11, 'Fiction': 9, 'Fantasy (Urban Fantasy) ': 9}",https://www.goodreads.com/book/show/19081402-consequences
Saved by Venom,Saved by Venom,Lolita Lopez,English,4.11,2761,141,2013,"{'Science Fiction': 68, 'Erotica (BDSM) ': 62, 'Romance': 55, 'Science Fiction (Aliens) ': 55, 'Adult Fiction (Erotica) ': 39, 'Romance (Science Fiction Romance) ': 24, 'Fantasy (Paranormal) ': 21, 'Fantasy': 19, 'Romance (Paranormal Romance) ': 15, 'Futuristic': 14}",https://www.goodreads.com/book/show/18626777-saved-by-venom
Breeder,9.78162E+12,Cara Bristol,English,3.5,2083,282,2013,"{'Science Fiction': 77, 'Romance': 55, 'Science Fiction (Aliens) ': 55, 'Erotica (BDSM) ': 42, 'Adult Fiction (Erotica) ': 42, 'Romance (Science Fiction Romance) ': 18, 'Dark': 13, 'Fantasy': 13, 'Adult': 13, 'Romance (Erotic Romance) ': 12}",https://www.goodreads.com/book/show/18626685-breeder
Black and Blue,Black and Blue,Gena Showalter,English,4.18,4515,366,2013,"{'Romance (Paranormal Romance) ': 135, 'Fantasy (Paranormal) ': 127, 'Romance': 121, 'Science Fiction (Aliens) ': 55, 'Fantasy': 47, 'Fantasy (Urban Fantasy) ': 29, 'Science Fiction': 29, 'Adult': 28, 'Fantasy (Supernatural) ': 21, 'Fiction': 8}",https://www.goodreads.com/book/show/17211009-black-and-blue
Lilith's Brood,"Lilith's Brood (Xenogenesis, Books 1-3)",Octavia E. Butler,English,4.35,15107,1143,1987,"{'Science Fiction': 657, 'Fiction': 390, 'Fantasy': 123, 'Science Fiction Fantasy': 70, 'Apocalyptic (Post Apocalyptic) ': 59, 'Speculative Fiction': 58, 'Science Fiction (Aliens) ': 55, 'Science Fiction (Dystopia) ': 48, 'Feminism': 46, 'Novels': 28}",https://www.goodreads.com/book/show/60926.Lilith_s_Brood
Alien: Out of the Shadows,Alien: Out of the Shadows,Tim Lebbon,English,3.79,8446,1155,2013,"{'Science Fiction': 314, 'Horror': 314, 'Audiobook': 161, 'Fiction': 125, 'Science Fiction (Aliens) ': 54, 'Thriller': 32, 'Fantasy': 24, 'Space': 17, 'Action': 12, 'Suspense': 10}",https://www.goodreads.com/book/show/17672008-alien
To Sleep in a Sea of Stars,To Sleep in a Sea of Stars,Christopher Paolini,English,3.89,12493,2765,2020,"{'Science Fiction': 926, 'Fantasy': 296, 'Fiction': 276, 'Adult': 115, 'Space (Space Opera) ': 89, 'Audiobook': 69, 'Space': 65, 'Science Fiction (Aliens) ': 54, 'Science Fiction Fantasy': 53, 'Young Adult': 51}",https://www.goodreads.com/book/show/48829708-to-sleep-in-a-sea-of-stars
